misdrijf,Regio,2010,2011,2012,2013
Bedrog (overig),Limburg,20,10,15,20
Bedrog (overig),niet in te delen,5,5,5,5
Valsheidsmisdrijf,Groningen,245,250,335,245
Valsheidsmisdrijf,Friesland,145,195,195,210
Valsheidsmisdrijf,Drenthe,170,150,185,150
Valsheidsmisdrijf,Overijssel,365,440,415,335
Valsheidsmisdrijf,Flevoland,260,340,375,315
Valsheidsmisdrijf,Gelderland,635,735,850,620
Valsheidsmisdrijf,Utrecht,580,695,800,635
Valsheidsmisdrijf,Noord-Holland,2380,3210,3280,2245
Valsheidsmisdrijf,Zuid-Holland,2625,2945,2985,2375
Valsheidsmisdrijf,Zeeland,120,145,155,120
Valsheidsmisdrijf,Noord-Brabant,1045,1160,1400,1285
Valsheidsmisdrijf,Limburg,375,445,475,475
Valsheidsmisdrijf,niet in te delen,315,345,255,145
Muntmisdrijf,Groningen,25,20,55,55
Muntmisdrijf,Friesland,10,25,20,50
Muntmisdrijf,Drenthe,30,20,20,35
Muntmisdrijf,Overijssel,55,45,45,60
Muntmisdrijf,Flevoland,35,35,30,35
Muntmisdrijf,Gelderland,110,110,140,125
Muntmisdrijf,Utrecht,80,105,85,130
Muntmisdrijf,Noord-Holland,230,230,210,235
Muntmisdrijf,Zuid-Holland,365,225,245,240
Muntmisdrijf,Zeeland,25,5,10,15
Muntmisdrijf,Noord-Brabant,160,90,200,270
Muntmisdrijf,Limburg,60,55,60,175
Muntmisdrijf,niet in te delen,0,0,0,0
Valsheid in zegels en merken,Groningen,5,0,0,0
Valsheid in zegels en merken,Friesland,0,5,0,5
Valsheid in zegels en merken,Drenthe,0,0,0,0
Valsheid in zegels en merken,Overijssel,0,5,5,5
Valsheid in zegels en merken,Flevoland,0,0,0,0
Valsheid in zegels en merken,Gelderland,5,10,15,20
Valsheid in zegels en merken,Utrecht,10,10,10,10
Valsheid in zegels en merken,Noord-Holland,45,55,60,35
Valsheid in zegels en merken,Zuid-Holland,50,65,90,85
Valsheid in zegels en merken,Zeeland,5,0,0,0
Valsheid in zegels en merken,Noord-Brabant,20,10,30,15
Valsheid in zegels en merken,Limburg,10,10,5,5
Valsheid in zegels en merken,niet in te delen,0,0,0,0
Valsheid in geschriften,Groningen,215,230,280,185
Valsheid in geschriften,Friesland,130,160,175,155
Valsheid in geschriften,Drenthe,140,125,165,120
Valsheid in geschriften,Overijssel,305,390,360,270
Valsheid in geschriften,Flevoland,220,310,345,275
Valsheid in geschriften,Gelderland,515,615,695,480
Valsheid in geschriften,Utrecht,485,585,705,495
Valsheid in geschriften,Noord-Holland,2100,2925,3010,1975
Valsheid in geschriften,Zuid-Holland,2210,2655,2650,2050
Valsheid in geschriften,Zeeland,85,140,145,100
Valsheid in geschriften,Noord-Brabant,865,1060,1170,1000
Valsheid in geschriften,Limburg,310,380,410,295
Valsheid in geschriften,niet in te delen,315,340,255,140
Heling,Groningen,205,200,140,180
Heling,Friesland,120,115,100,90
Heling,Drenthe,95,85,85,85
Heling,Overijssel,230,230,225,235
Heling,Flevoland,95,110,100,110
Heling,Gelderland,595,540,600,700
Heling,Utrecht,550,550,555,545
Heling,Noord-Holland,1170,1420,1395,1230
Heling,Zuid-Holland,1420,1635,1720,1740
Heling,Zeeland,45,45,45,60
Heling,Noord-Brabant,905,835,895,880
Heling,Limburg,315,300,380,325
Heling,niet in te delen,15,10,15,5
Afpersing en afdreiging,Groningen,30,30,35,45
Afpersing en afdreiging,Friesland,15,20,25,30
Afpersing en afdreiging,Drenthe,10,15,25,30
Afpersing en afdreiging,Overijssel,30,40,40,55
Afpersing en afdreiging,Flevoland,25,15,15,40
Afpersing en afdreiging,Gelderland,70,80,105,110
Afpersing en afdreiging,Utrecht,80,90,75,120
Afpersing en afdreiging,Noord-Holland,200,225,220,265
Afpersing en afdreiging,Zuid-Holland,335,275,315,350
Afpersing en afdreiging,Zeeland,10,15,25,20
Afpersing en afdreiging,Noord-Brabant,110,110,130,165
Afpersing en afdreiging,Limburg,50,75,65,70
Afpersing en afdreiging,niet in te delen,10,10,10,5
Bankbreuk,Groningen,0,5,5,5
Bankbreuk,Friesland,0,5,0,0
Bankbreuk,Drenthe,5,5,5,0
Bankbreuk,Overijssel,5,5,10,5
Bankbreuk,Flevoland,0,10,5,0
Bankbreuk,Gelderland,0,10,25,10
Bankbreuk,Utrecht,5,0,0,10
Bankbreuk,Noord-Holland,20,40,55,15
Bankbreuk,Zuid-Holland,10,20,45,40
Bankbreuk,Zeeland,0,0,10,0
Bankbreuk,Noord-Brabant,10,15,15,5
Bankbreuk,Limburg,5,5,5,5
Bankbreuk,niet in te delen,10,0,5,0
Witwassen,Groningen,10,10,15,15
Witwassen,Friesland,0,5,5,5
Witwassen,Drenthe,5,10,10,10
Witwassen,Overijssel,20,30,15,10
Witwassen,Flevoland,5,5,10,10
Witwassen,Gelderland,20,35,35,35
Witwassen,Utrecht,10,30,70,60
Witwassen,Noord-Holland,95,90,105,105
Witwassen,Zuid-Holland,85,155,165,235
Witwassen,Zeeland,5,5,5,10
Witwassen,Noord-Brabant,10,40,30,95
Witwassen,Limburg,35,15,20,20
Witwassen,niet in te delen,5,5,0,0
Vermogensmisdrijf (overig),Groningen,0,0,0,0
Vermogensmisdrijf (overig),Friesland,0,0,0,0
Vermogensmisdrijf (overig),Drenthe,0,0,0,0
Vermogensmisdrijf (overig),Overijssel,0,0,0,0
Vermogensmisdrijf (overig),Flevoland,0,0,0,0
Vermogensmisdrijf (overig),Gelderland,0,0,0,0
Vermogensmisdrijf (overig),Utrecht,0,0,0,0
Vermogensmisdrijf (overig),Noord-Holland,0,0,0,0
Vermogensmisdrijf (overig),Zuid-Holland,0,0,0,0
Vermogensmisdrijf (overig),Zeeland,0,0,0,0
Vermogensmisdrijf (overig),Noord-Brabant,0,0,0,0
Vermogensmisdrijf (overig),Limburg,0,0,0,0
Vermogensmisdrijf (overig),niet in te delen,0,0,0,0
Vernielingen, misdr.openb.orde/gezag,Groningen,6655,6520,6115,5060
Vernielingen, misdr.openb.orde/gezag,Friesland,6570,6740,6000,5080
Vernielingen, misdr.openb.orde/gezag,Drenthe,4795,4755,4930,4015
Vernielingen, misdr.openb.orde/gezag,Overijssel,10660,10700,10395,8780
Vernielingen, misdr.openb.orde/gezag,Flevoland,4910,4855,3930,3400
Vernielingen, misdr.openb.orde/gezag,Gelderland,20910,19510,17650,14795
Vernielingen, misdr.openb.orde/gezag,Utrecht,12865,12210,10925,9715
Vernielingen, misdr.openb.orde/gezag,Noord-Holland,32695,31360,26925,24330
