Flevoland,Stalking,50,65,65,65
Flevoland,Seksueel misdrijf,140,145,130,170
Flevoland,Aanranding,40,40,30,40
Flevoland,Verkrachting,30,25,25,25
Flevoland,Schennis der eerbaarheid,20,35,20,25
Flevoland,Ontucht met minderjarige,10,15,10,20
Flevoland,Pornografie,15,5,20,20
Flevoland,Ontucht met misbruik van gezag,20,20,15,25
Flevoland,Seksueel misdrijf (overig),10,10,5,15
Flevoland,Levensmisdrijf,90,95,105,85
Flevoland,Vrijheidsbeneming/gijzeling,25,10,25,15
Flevoland,Mensenhandel,5,10,5,10
Flevoland,Geweldsmisdrijf (overig),5,20,25,35
Flevoland,Misdrijven WvSr (overig),195,185,225,240
Flevoland,Verkeersmisdrijven,3330,2985,2795,2575
Flevoland,5.Verlaten plaats ongeval,2220,1905,1780,1775
Flevoland,5.Rijden onder invloed,1030,990,940,720
Flevoland,5.Rijdentijdens ontzegging,55,50,30,40
Flevoland,5.Rijdentijdens rijverbod,0,5,0,0
Flevoland,5.Voeren vals kenteken,5,10,5,10
Flevoland,5.Joyriding,10,10,5,5
Flevoland,5.Weigeren blaastest/bloedonderzoek,0,0,0,0
Flevoland,5.Verkeersmisdrijf (overig),5,15,30,25
Flevoland,Drugsmisdrijven,570,580,635,600
Flevoland,6.Harddrugs,375,315,395,325
Flevoland,6.Softdrugs,195,265,240,275
Flevoland,(Vuur)wapenmisdrijven,110,130,125,145
Flevoland,Misdrijven overige wetten,90,100,85,60
Flevoland,Militair misdrijf,0,0,0,0
Flevoland,Misdrijf (overig),90,100,85,60
Friesland,totaal,31415,31500,29500,28325
Friesland,Vermogensmisdrijven,15415,15430,15185,15445
Friesland,Diefstal/verduistering en inbraak,14165,14430,14045,14490
Friesland,Diefstal en inbraak met geweld,195,205,180,210
Friesland,Diefstal en inbraak zonder geweld,13970,14225,13870,14280
Friesland,Bedrog,975,660,810,620
Friesland,Oplichting,935,645,785,595
Friesland,Flessentrekkerij,35,15,20,20
Friesland,Bedrog (overig),5,0,5,5
Friesland,Valsheidsmisdrijf,145,195,195,210
Friesland,Muntmisdrijf,10,25,20,50
Friesland,Valsheid in zegels en merken,0,5,0,5
Friesland,Valsheid in geschriften,130,160,175,155
Friesland,Heling,120,115,100,90
Friesland,Afpersing en afdreiging,15,20,25,30
Friesland,Bankbreuk,0,5,0,0
Friesland,Witwassen,0,5,5,5
Friesland,Vermogensmisdrijf (overig),0,0,0,0
Friesland, misdr.openb.orde/gezag,6570,6740,6000,5080
Friesland,Vernieling en beschadiging,5625,5615,5050,4340
Friesland,Vernieling aan auto,2090,2155,1830,1695
Friesland,Vernieling aan openbaar gebouw,365,220,55,85
Friesland,Vernieling middel openb.vervoer,60,55,60,20
Friesland,Dierenmishandeling,0,0,0,0
Friesland,Vernieling,3110,3185,3100,2540
Friesland,Openbare orde misdrijf,545,605,565,470
Friesland,Openlijke geweldpleging,210,215,165,145
Friesland,Openlijk geweldtegen persoon,135,135,105,95
Friesland,Openlijk geweldtegen goed,75,80,60,50
Friesland,Huisvredebreuk,95,90,115,90
Friesland,Lokaalvredebreuk,40,25,10,20
Friesland,Computervredebreuk,30,40,135,60
Friesland,Discriminatie,10,10,10,15
Friesland,Openbare orde misdrijf (overig),160,220,125,140
Friesland,Brandstichting/ontploffing,255,330,200,175
Friesland,Openbaar gezag misdrijf,145,190,190,95
Friesland,Niet opvolgen van ambtelijk bevel,85,140,135,55
Friesland,Wederspannigheid,35,20,30,20
Friesland,Valse aangifte,15,15,10,10
Friesland,Verblijf ongewenste vreemdeling,0,0,5,5
Friesland,Openbaar gezag misdrijf (overig),10,15,5,5
Friesland,Gewelds- en seksuele misdrijven,3555,3635,3475,3365
Friesland,Mishandeling,1930,1875,1890,1760
Friesland,Bedreiging en stalking,1085,1220,1105,1115
Friesland,Bedreiging,985,1095,995,1000
Friesland,Stalking,100,125,115,115
Friesland,Seksueel misdrijf,360,325,285,320
Friesland,Aanranding,75,55,60,70
Friesland,Verkrachting,60,45,55,30
Friesland,Schennis der eerbaarheid,75,95,45,50
Friesland,Ontucht met minderjarige,45,45,50,60
Friesland,Pornografie,20,15,25,30
Friesland,Ontucht met misbruik van gezag,20,20,25,25
Friesland,Seksueel misdrijf (overig),65,45,30,50
Friesland,Levensmisdrijf,120,135,125,115
Friesland,Vrijheidsbeneming/gijzeling,10,15,5,10
Friesland,Mensenhandel,10,15,15,15
Friesland,Geweldsmisdrijf (overig),40,50,45,40
Friesland,Misdrijven WvSr (overig),375,360,405,370
Friesland,Verkeersmisdrijven,4590,4440,3770,3305
Friesland,5.Verlaten plaats ongeval,2655,2595,2250,2160
Friesland,5.Rijden onder invloed,1785,1710,1380,1040
Friesland,5.Rijdentijdens ontzegging,85,75,45,20
Friesland,5.Rijdentijdens rijverbod,5,0,5,0
Friesland,5.Voeren vals kenteken,10,25,20,20
Friesland,5.Joyriding,15,10,10,5
Friesland,5.Weigeren blaastest/bloedonderzoek,5,5,5,5
Friesland,5.Verkeersmisdrijf (overig),25,15,60,55
Friesland,Drugsmisdrijven,550,550,380,470
Friesland,6.Harddrugs,260,245,185,215
Friesland,6.Softdrugs,290,300,195,260
Friesland,(Vuur)wapenmisdrijven,135,180,130,140
Friesland,Misdrijven overige wetten,235,165,150,150
Friesland,Militair misdrijf,0,0,0,0
Friesland,Misdrijf (overig),235,165,150,150
Gelderland,totaal,126330,123905,118440,111255
Gelderland,Vermogensmisdrijven,75425,75235,73975,71135
Gelderland,Diefstal/verduistering en inbraak,71495,71600,69890,67585
Gelderland,Diefstal en inbraak met geweld,1245,1100,1015,940
Gelderland,Diefstal en inbraak zonder geweld,70250,70500,68875,66645
Gelderland,Bedrog,2605,2235,2470,2070
Gelderland,Oplichting,2535,2170,2375,2000
Gelderland,Flessentrekkerij,45,45,70,55
Gelderland,Bedrog (overig),30,20,25,15
Gelderland,Valsheidsmisdrijf,635,735,850,620
Gelderland,Muntmisdrijf,110,110,140,125
Gelderland,Valsheid in zegels en merken,5,10,15,20
Gelderland,Valsheid in geschriften,515,615,695,480
Gelderland,Heling,595,540,600,700
Gelderland,Afpersing en afdreiging,70,80,105,110
Gelderland,Bankbreuk,0,10,25,10
Gelderland,Witwassen,20,35,35,35
Gelderland,Vermogensmisdrijf (overig),0,0,0,0
Gelderland, misdr.openb.orde/gezag,20910,19510,17650,14795
Gelderland,Vernieling en beschadiging,17645,16225,14735,12645
Gelderland,Vernieling aan auto,7700,7110,6250,5405
Gelderland,Vernieling aan openbaar gebouw,1740,1135,275,190
Gelderland,Vernieling middel openb.vervoer,225,315,265,130
Gelderland,Dierenmishandeling,0,0,0,0
Gelderland,Vernieling,7975,7670,7950,6925
Gelderland,Openbare orde misdrijf,2000,2045,1870,1265
Gelderland,Openlijke geweldpleging,915,800,690,565
Gelderland,Openlijk geweldtegen persoon,745,635,550,465
Gelderland,Openlijk geweldtegen goed,165,165,140,105
Gelderland,Huisvredebreuk,275,275,270,240
Gelderland,Lokaalvredebreuk,80,50,40,35
Gelderland,Computervredebreuk,90,270,625,270
Gelderland,Discriminatie,35,30,40,30
Gelderland,Openbare orde misdrijf (overig),605,620,210,120
Gelderland,Brandstichting/ontploffing,815,805,670,560
Gelderland,Openbaar gezag misdrijf,450,430,375,330
Gelderland,Niet opvolgen van ambtelijk bevel,300,260,235,170
Gelderland,Wederspannigheid,80,100,80,80
Gelderland,Valse aangifte,40,50,40,50
Gelderland,Verblijf ongewenste vreemdeling,0,0,0,0
Gelderland,Openbaar gezag misdrijf (overig),25,25,25,30
Gelderland,Gewelds- en seksuele misdrijven,11215,11300,10950,10230
Gelderland,Mishandeling,6115,6250,5975,5480
